order_id,customer_id,product_id,quantity,order_date
82086,6213,878,0,2026-02-11
11334,7997,31,10,2025-11-22
18441,9355,781,6,2022-04-07
30531,6685,84,6,2024-11-23
82609,2933,435,1,2025-12-10
89060,6994,97,10,2026-02-01
7898,7631,105,4,2023-01-04
92898,4684,955,3,2023-04-12
81298,3219,541,3,2025-07-29
82623,5784,604,7,2025-01-30
52866,3549,559,7,2025-12-24
20440,8433,290,3,2024-06-05
37935,4295,497,3,2023-11-13
26204,5689,72,1,2026-08-18
44614,7915,252,8,2025-12-16
48420,4534,115,2,2026-01-28
67123,5809,501,6,2022-10-21
79319,9790,613,10,2026-07-31
8650,3506,93,9,2023-06-03
98610,1728,960,5,2025-10-28
21964,811,522,4,2025-11-01
68288,7328,258,3,2024-01-30
8837,3801,204,1,2024-01-31
70332,3060,533,9,2023-04-20
91638,6598,256,1,2023-02-03
86831,95,625,2,2024-02-07
44417,4177,569,9,2022-02-09
35857,1725,516,6,2025-09-03
83375,1783,423,6,2024-12-03
79474,3347,103,7,2024-07-08
69356,4827,633,8,2023-01-08
40626,2998,283,10,2026-01-25
53522,5290,613,6,2023-06-17
88894,2205,877,6,2023-10-11
71999,350,824,4,2026-09-15
49341,1107,454,10,2099-07-13
58439,2154,471,5,2023-11-22
62694,5857,158,1,2025-06-18
41106,1735,450,-3,2022-01-02
90625,9440,278,9,2023-09-25
66050,1817,707,3,2022-08-04
78840,1157,356,3,2025-06-05
66668,242,950,8,2023-11-27
21711,3028,805,5,2024-01-28
6847,6448,369,2,2026-01-28
3475,683,578,two,2026-05-14
48192,6677,220,5,2022-02-07
26022,7620,47,1,2024-04-14
9251,5855,923,6,2022-11-02
83805,587,557,8,2022-08-06
25923,1152,515,9,2024-08-03
41633,8835,545,5,2023-12-13
92910,6888,791,7,2023-10-26
98958,6749,669,7,2023-12-21
30829,4501,970,9,2025-02-14
69857,1091,450,1,2025-01-31
20116,3234,314,4,2023-03-25
6811,3839,400,6,2022-02-04
25554,7808,708,10,
97758,7280,494,6,2026-04-11
96491,5823,553,-3,2023-11-21
67429,7429,841,6,2022-04-20
66860,1558,838,4,2024-01-02
6579,1251,262,5,2023-01-01
3396,3724,419,5,2023-06-06
5603,7114,232,1,2024-03-24
51809,6334,232,6,2026-05-12
22338,7338,13,4,2023-01-12
39263,5631,887,8,2026-02-17
16743,6059,312,3,2023-03-02
93598,1692,33,4,2022-06-24
67573,4332,872,7,2025-12-22
52887,3901,276,1,2023-09-08
20867,9672,585,5,2023-05-28
49506,559,267,3,2023-01-20
55186,7862,938,10,2023-11-05
65401,5921,892,1,2025-04-17
69358,3355,324,7,2025-05-23
34133,7226,323,0,2026-05-21
53567,5836,552,9,2023-01-11
60158,2454,728,3,2026-05-21
64691,1481,283,6,2026-01-10
50115,9101,42,5,2023-03-11
88082,5380,359,7,2023-07-03
50190,5340,314,6,2023-03-31
58108,5405,101,8,2022-06-25
4758,6405,928,10,2026-05-25
30390,1758,593,9,2024-10-23
87364,5495,63,2,2026-03-22
62976,8642,379,9,2024-11-02
68175,2174,834,6,2023-01-12
91478,6716,122,8,2024-11-10
86269,8901,748,2,2025-12-17
10207,7522,281,5,2022-10-29
56294,6326,685,1,06-06-2022
1731,1338,795,4,2025-06-03
75340,14563,350,5,2023-12-03
91315,4851,728,9,2022-04-12
73024,4148,604,4,2022-11-30
97632,9433,359,6,2023-08-03
78961,8440,916,9,2024-07-28
97703,8384,54,7,2023-06-30
20380,2144,587,1,2023-03-20
91231,4379,717,8,2022-12-17
45517,5005,213,7,2026-03-09
94809,7701,248,10,2023-12-11
69859,7684,246,8,2024-07-18
73073,9354,468,3,2026-01-30
26896,662,940,3,2024-01-23
27334,5299,719,1,2023-05-17
22653,7652,700,8,2023-05-16
42969,50,67,2,2024-06-02
88728,8647,218,4,2022-01-10
90568,2903,246,7,2024-12-12
79770,3379,347,4,2025-07-01
91925,83,84,7,2023-10-04
24419,16,566,9,2022-04-21
49322,1035,105,4,2022-07-31
78250,281,833,1,2023-04-03
54063,3765,869,8,2025-08-26
16483,3796,479,1,2024-05-21
26951,5944,325,7,2025-05-17
65345,9483,219,6,2022-06-21
98833,9344,56,8,2026-03-21
36051,2835,100,2,2025-01-14
19192,8790,403,6,2026-05-03
98635,8615,513,10,2025-12-12
65101,3436,204,3,2024-09-25
56794,9024,834,6,2022-09-06
70097,7746,810,3,2026-03-21
39686,6459,913,4,2025-02-22
4725,1471,108,10,2024-12-13
94779,3232,224,8,2025-03-03
38151,4330,119,4,2022-11-20
89689,9625,709,4,2022-11-15
68522,8729,732,5,2026-05-26
25411,5337,283,8,2024-08-05
17860,1663,734,4,2023-09-05
36630,7011,617,2,2023-05-24
27045,219,915,2,2024-02-07
17759,100,75,3,2025-01-05
57858,8802,408,8,2022-09-20
7339,8091,319,9,2022-04-17
60050,7487,404,1,2024-09-09
86069,3981,196,5,2022-04-03
82301,6224,289,9,2024-01-12
4767,4602,436,6,2025-09-26
22335,285,256,2,2023-08-23
10869,3235,780,1,2023-01-09
26352,3171,279,9,2022-04-12
14087,5779,2,5,2022-10-07
80952,4717,270,6,2024-10-27
89337,2608,161,3,2025-09-11
10233,3563,277,8,2023-12-27
40969,7502,233,10,2022-03-29
13505,9287,799,5,2022-10-25
34635,8013,217,3,2022-01-14
68655,8913,865,6,2023-06-12
51605,1776,977,0,2025-01-30
69566,7653,199,8,2025-05-07
13914,5985,471,7,2024-08-17
94709,1685,79,10,2025-09-27
40764,857,938,7,2023-09-04
33339,8092,372,8,2025-10-21
25566,322,694,1,2025-07-27
7247,3692,637,7,2025-06-21
54400,2146,457,9,2023-01-04
6848,4490,797,2,2022-11-05
5177,2486,882,1,2022-12-27
91401,4573,621,5,2023-02-03
32872,608,471,9,2024-03-20
19143,7449,875,7,2023-12-03
43428,5528,1,9,2024-11-23
92725,3407,20,6,2026-05-25
9796,9346,870,6,2025-09-23
25091,2294,322,4,2023-06-06
20893,1906,916,4,2024-02-18
84249,3091,614,,2025-02-14
23939,5464,117,2,2025-02-01
27287,4540,860,4,2023-03-09
59609,7837,402,3,2022-09-27
94754,3880,893,7,2022-07-12
36282,5484,296,7,2099-01-01
65079,4982,624,2,2099-11-09
85913,4074,268,2,2022-09-17
55406,6882,258,10,2026-03-04
72543,4532,229,9,2023-02-25
91604,422,802,10,2025-03-22
60408,8094,680,6,2024-03-03
22028,9454,83,4,2024-12-07
7010,3720,817,5,2026-01-26
30217,9460,223,5,2024-02-24
72096,6204,78,8,2023-10-20
85211,4207,359,9,2025-04-17
90126,2040,660,4,2025-10-11
96328,3451,361,1,2024-04-09
17297,4893,462,9,2023-05-31
64732,6470,902,10,2023-04-06
92879,1550,633,1,2024-06-16
47897,2461,572,7,2023-07-09
53260,1775,425,9,2025-01-11
70173,5579,113,1,2024-03-01
56312,3472,22,7,2024-04-12
32309,9083,769,10,2022-12-08
76606,5252,609,3,2099-06-08
51575,6777,270,8,2025-10-30
30768,9128,241,7,2022-10-01
76861,969,698,8,2026-07-15
45223,9565,923,9,2024-02-08
90920,5827,943,8,2022-12-14
85729,2517,229,10,2023-05-10
62424,9513,514,8,2022-08-11
69065,9807,337,4,2025-10-15
30964,7549,497,2,2024-02-04
10438,7148,445,two,2024-11-18
32966,9576,615,5,2022-10-03
35650,581,473,6,2024-05-01
3788,7811,806,7,2023-01-27
34895,8764,292,4,2023-11-02
70752,4987,946,10,2023-05-16
4321,5355,101,9,2024-03-02
1365,6732,800,6,2022-08-10
87082,141,592,5,2025-01-22
36585,4156,955,4,2022-11-10
72226,4800,219,7,2023-05-17
64652,8120,800,0,2022-11-18
78008,9737,660,6,2024-10-06
29102,7536,602,2,2024-04-04
25096,7127,483,1,2026-05-26
71096,524,402,7,2024-07-04
61566,6330,340,5,2024-07-10
72749,8919,209,4,2023-02-13
88128,9650,698,1,2022-08-05
25327,7223,455,1,2023-09-15
43084,2046,484,1,2023-08-24
41091,7132,562,9,2025-01-06
64703,8340,513,8,2022-07-18
30858,5903,790,9,2024-05-12
50264,5459,782,7,2026-05-07
51038,8072,125,9,2026-06-17
65795,2036,242,2,2023-12-19
92144,8150,204,10,2026-08-14
49781,1850,931,5,2024-12-12
82225,3108,848,6,2026-08-01
73968,3267,848,6,2024-12-18
71008,8236,812,5,2025-05-15
95805,644,577,6,2022-05-11
80569,3261,49,6,2025-03-12
4281,731,422,1,2026-03-31
32245,5951,183,8,2026-07-15
62128,8672,347,1,2023-06-16
83169,9186,716,9,2024-12-01
96916,4134,431,8,2023-11-25
39709,4463,806,1,2025-10-30
26019,5086,575,0,2025-09-05
18615,9135,413,3,2025-12-09
8736,1163,174,,2025-06-25
23911,2575,151,9,2023-08-11
12205,358,145,6,2025-03-28
25202,1379,793,9,2026-03-13
77304,624,266,5,2022-10-03
44413,3223,18,5,2025-10-24
36771,2598,468,8,2025-06-01
68742,3285,182,5,2024-06-09
13794,5802,327,2,2022-05-31
55387,6742,265,2,2025-08-08
36685,246,226,6,2023-08-24
24679,5122,93,7,2025-04-23
10451,10437,244,3,2025-07-12
72467,7852,332,2,2024-08-27
90684,8175,101,7,2022-02-25
40391,3739,550,9,2023-04-22
86714,6944,885,4,2023-04-21
53292,2154,378,1,2026-08-01
41851,8438,594,7,2023-05-05
32285,7699,437,6,2022-04-10
70090,6699,46,4,2023-12-14
35888,4523,572,1,2025-01-02
40537,8427,497,1,2022-05-04
84133,4580,758,4,2025-08-31
9165,5223,123,1,2025-07-20
57973,8449,586,2,2099-07-06
13453,312,500,10,2023-11-15
14548,1885,56,9,2025-08-04
14153,4980,540,5,2026-02-21
82600,3359,530,4,2023-12-31
8077,4637,256,2,2023-01-20
1705,4637,135,7,2024-10-27
79008,7049,104,3,2026-03-06
9288,9378,135,8,2026-09-08
23417,1013,919,two,2024-06-16
83866,7547,19,4,2023-04-04
98396,4847,66,4,2022-04-08
98217,5395,590,1,2024-01-26
69518,3605,875,1,2022-09-12
24972,6222,826,10,2025-01-03
33269,4720,45,4,2026-05-18
24006,4817,430,1,2023-02-22
34039,999,446,2,2022-08-13
30780,3291,588,5,2026-08-21
76029,397,47,4,2025-01-13
50877,2874,117,9,2026-09-09
16477,4620,4258,6,2026-09-09
26324,3445,650,2,2023-09-11
90200,1842,925,9,2025-06-25
80407,8980,831,1,2024-09-14
46224,3654,590,8,2025-09-18
94227,1183,730,4,2024-04-29
73992,1750,86,1,2024-10-11
71378,5606,669,-3,2025-07-14
35210,2915,317,1,2022-07-25
77796,5288,753,2,2024-03-15
44610,4911,2299,2,2023-02-08
53996,9030,730,3,2024-11-19
30772,1886,778,5,2025-10-11
82113,5834,625,4,2022-04-26
15356,2819,385,10,2022-04-16
36846,2511,687,7,2023-03-08
16145,7617,184,9,2024-08-28
67135,6434,802,10,2024-12-31
64581,5986,41,-1,2024-05-17
56555,8646,800,9,2022-08-25
20066,6247,165,9,2023-08-27
77411,68,543,5,2024-09-15
89433,5983,424,4,2022-07-02
3918,999,923,3,2023-11-06
71469,2028,551,7,2022-07-22
49160,5242,311,10,2025-04-04
51740,6210,815,3,2025-12-22
18524,6650,417,1,2022-01-11
19714,6516,309,2,2025-06-25
76933,1753,588,4,2024-10-18
79971,392,865,10,2022-08-28
92440,6496,158,7,2026-06-14
85862,5389,165,9,2023-11-21
17892,4059,448,10,2024-09-09
69705,5419,656,4,2023-05-09
336,1061,736,5,2024-09-07
46906,6904,388,3,2023-10-21
52664,9504,690,6,2025-03-08
52458,3228,695,10,2023-01-21
57286,6715,188,4,2023-02-28
18773,2869,15,2,2022-01-23
11496,6298,585,7,2023-10-10
54083,4235,628,4,2026-08-19
76273,2763,64,8,2025-10-24
69036,6403,406,9,2023-10-17
97281,8584,746,3,2024-01-24
95197,9539,280,10,2025-09-12
35325,4290,766,9,2026-07-27
8338,9532,400,9,2025-08-21
90604,4478,861,2,2025-07-14
