product_id,product_name,category,price,stock
153,Eco-Friendly Webcam,Electronics,627.79,4470
418,Heavy Duty Coffee Beans,Grocery,489.2,3461
904,Ultra Bluetooth Speaker,Electronics,605.87,3394
373,Ultra Hoodie,Clothing,740.43,2821
685,Rechargeable Car Charger,Automotive,122.32,4890
616,Portable Nail Polish,Beauty,672.34,288
742,Eco-Friendly Novel,Books,97.66,429
26,Rechargeable Board Game,Toys,452.51,4923
702,Ultra T-Shirt,Clothing,998.83,3912
917,Lightweight Socks,Clothing,785.94,3550
292,Portable Power Bank,Electronics,736.8,1464
175,Wireless Textbook,Books,241.27,2023
216,Portable Power Bank,Electronics,183.71,4578
883,Eco-Friendly Perfume,Beauty,682.17,4042
550,Compact Dash Cam,Automotive,779.04,3900
44,Smart Stapler,Office Supplies,605.76,857
536,Stainless Steel Headphones,Electronics,63.03,4826
475,Pro Jacket,Clothing,589.25,4957
875,Basic Car Charger,Automotive,,4187
199,Pro Perfume,Beauty,61.35,2393
319,Eco-Friendly Doll,Toys,80.18,1218
329,Pro Novel,Books,17.66,148
634,Wireless Board Game,Toys,366.08,4549
813,Premium Watering Can,Garden,256.72,33
336,Lightweight Face Mask,Health,,4835
457,Pro Remote Car,Toys,640.27,4976
668,Eco-Friendly Pasta Pack,Grocery,882.49,2750
127,Eco-Friendly Board Game,Toys,53.86,4291
846,Wireless Journal,Books,672.55,1492
544,Portable Dumbbell Set,Sports & Outdoors,374.05,1595
820,Portable Webcam,Electronics,741.91,4967
929,Basic Dumbbell Set,Sports & Outdoors,N/A,490
560,Pro Thermometer,Health,949.74,3315
90,Premium Pen Set,Office Supplies,662.2,4358
244,Deluxe USB Cable,Electronics,N/A,2848
501,Wireless Nail Polish,Beauty,819.45,2872
360,Eco-Friendly Keyboard Stand,Music,257.28,1526
98,Classic Olive Oil,Grocery,80.36,2762
746,Lightweight Power Bank,Electronics,113.25,4691
229,Wireless Dog Leash,Pet Supplies,811.01,4070
812,Deluxe Cat Litter,Pet Supplies,666.92,3962
392,Pro Rice Bag,Grocery,477.51,2832
890,Ultra Rice Bag,Grocery,80.4,3821
679,Rechargeable Hoodie,Clothing,110.43,3687
